template_model,building_use_type,project_area,building_height,location,state,stories_above_grade,stories_below_grade,bay_size,str_vert_grav_sys,str_horiz_grav_sys,str_lat_sys,cladding_type,glazing_type,roofing_type,wwr
STR2_ENCO1_ENCT1_ENCR1,Office,108000,62,Los Angeles,California,6,0,30'x30',Concrete: CIP,Concrete: non-PT framing,Concrete: shear walls,Curtain wall: steel spandrel,Glazing: double pane IGU,EPDM roofing,33%
STR2_ENCO1_ENCT2_ENCR1,Office,108000,62,Los Angeles,California,6,0,30'x30',Concrete: CIP,Concrete: non-PT framing,Concrete: shear walls,Curtain wall: steel spandrel,Glazing: triple pane IGU,EPDM roofing,33%
STR2_ENCO2_ENCT1_ENCR1,Office,108000,62,Los Angeles,California,6,0,30'x30',Concrete: CIP,Concrete: non-PT framing,Concrete: shear walls,Curtain wall: aluminum spandrel,Glazing: double pane IGU,EPDM roofing,33%
STR2_ENCO2_ENCT2_ENCR1,Office,108000,62,Los Angeles,California,6,0,30'x30',Concrete: CIP,Concrete: non-PT framing,Concrete: shear walls,Curtain wall: aluminum spandrel,Glazing: triple pane IGU,EPDM roofing,33%
STR2_ENCO3_ENCT1_ENCR1,Office,108000,62,Los Angeles,California,6,0,30'x30',Concrete: CIP,Concrete: non-PT framing,Concrete: shear walls,MV: brick,Glazing: double pane IGU,EPDM roofing,33%
STR2_ENCO3_ENCT2_ENCR1,Office,108000,62,Los Angeles,California,6,0,30'x30',Concrete: CIP,Concrete: non-PT framing,Concrete: shear walls,MV: brick,Glazing: triple pane IGU,EPDM roofing,33%
STR2_ENCO4_ENCT1_ENCR1,Office,108000,62,Los Angeles,California,6,0,30'x30',Concrete: CIP,Concrete: non-PT framing,Concrete: shear walls,MV: granite,Glazing: double pane IGU,EPDM roofing,33%
STR2_ENCO4_ENCT2_ENCR1,Office,108000,62,Los Angeles,California,6,0,30'x30',Concrete: CIP,Concrete: non-PT framing,Concrete: shear walls,MV: granite,Glazing: triple pane IGU,EPDM roofing,33%
STR2_ENCO5_ENCT1_ENCR1,Office,108000,62,Los Angeles,California,6,0,30'x30',Concrete: CIP,Concrete: non-PT framing,Concrete: shear walls,Insulated metal panel,Glazing: double pane IGU,EPDM roofing,33%
STR2_ENCO5_ENCT2_ENCR1,Office,108000,62,Los Angeles,California,6,0,30'x30',Concrete: CIP,Concrete: non-PT framing,Concrete: shear walls,Insulated metal panel,Glazing: triple pane IGU,EPDM roofing,33%
STR2_ENCO6_ENCT1_ENCR1,Office,108000,62,Los Angeles,California,6,0,30'x30',Concrete: CIP,Concrete: non-PT framing,Concrete: shear walls,EIFS (XPS),Glazing: double pane IGU,EPDM roofing,33%
STR2_ENCO6_ENCT2_ENCR1,Office,108000,62,Los Angeles,California,6,0,30'x30',Concrete: CIP,Concrete: non-PT framing,Concrete: shear walls,EIFS (XPS),Glazing: triple pane IGU,EPDM roofing,33%
STR2_ENCO7_ENCT1_ENCR1,Office,108000,62,Los Angeles,California,6,0,30'x30',Concrete: CIP,Concrete: non-PT framing,Concrete: shear walls,Rainscreen: GFRC,Glazing: double pane IGU,EPDM roofing,33%
STR2_ENCO7_ENCT2_ENCR1,Office,108000,62,Los Angeles,California,6,0,30'x30',Concrete: CIP,Concrete: non-PT framing,Concrete: shear walls,Rainscreen: GFRC,Glazing: triple pane IGU,EPDM roofing,33%
STR2_ENCO8_ENCT1_ENCR1,Office,108000,62,Los Angeles,California,6,0,30'x30',Concrete: CIP,Concrete: non-PT framing,Concrete: shear walls,Rainscreen: thin brick,Glazing: double pane IGU,EPDM roofing,33%
STR2_ENCO8_ENCT2_ENCR1,Office,108000,62,Los Angeles,California,6,0,30'x30',Concrete: CIP,Concrete: non-PT framing,Concrete: shear walls,Rainscreen: thin brick,Glazing: triple pane IGU,EPDM roofing,33%
STR2_ENCO9_ENCT1_ENCR1,Office,108000,62,Los Angeles,California,6,0,30'x30',Concrete: CIP,Concrete: non-PT framing,Concrete: shear walls,Rainscreen: wood,Glazing: double pane IGU,EPDM roofing,33%
STR2_ENCO9_ENCT2_ENCR1,Office,108000,62,Los Angeles,California,6,0,30'x30',Concrete: CIP,Concrete: non-PT framing,Concrete: shear walls,Rainscreen: wood,Glazing: triple pane IGU,EPDM roofing,33%
STR2_ENCO10_ENCT1_ENCR1,Office,108000,62,Los Angeles,California,6,0,30'x30',Concrete: CIP,Concrete: non-PT framing,Concrete: shear walls,Rainscreen: formed steel panel,Glazing: double pane IGU,EPDM roofing,33%
STR2_ENCO10_ENCT2_ENCR1,Office,108000,62,Los Angeles,California,6,0,30'x30',Concrete: CIP,Concrete: non-PT framing,Concrete: shear walls,Rainscreen: formed steel panel,Glazing: triple pane IGU,EPDM roofing,33%
STR3_ENCO1_ENCT1_ENCR1,Office,108000,62,Los Angeles,California,6,0,25'x25',Wood: mass timber,Wood: engineered panels,Concrete: shear walls,Curtain wall: steel spandrel,Glazing: double pane IGU,EPDM roofing,33%
STR3_ENCO1_ENCT2_ENCR1,Office,108000,62,Los Angeles,California,6,0,25'x25',Wood: mass timber,Wood: engineered panels,Concrete: shear walls,Curtain wall: steel spandrel,Glazing: triple pane IGU,EPDM roofing,33%
STR3_ENCO2_ENCT1_ENCR1,Office,108000,62,Los Angeles,California,6,0,25'x25',Wood: mass timber,Wood: engineered panels,Concrete: shear walls,Curtain wall: aluminum spandrel,Glazing: double pane IGU,EPDM roofing,33%
STR3_ENCO2_ENCT2_ENCR1,Office,108000,62,Los Angeles,California,6,0,25'x25',Wood: mass timber,Wood: engineered panels,Concrete: shear walls,Curtain wall: aluminum spandrel,Glazing: triple pane IGU,EPDM roofing,33%
STR3_ENCO3_ENCT1_ENCR1,Office,108000,62,Los Angeles,California,6,0,25'x25',Wood: mass timber,Wood: engineered panels,Concrete: shear walls,MV: brick,Glazing: double pane IGU,EPDM roofing,33%
STR3_ENCO3_ENCT2_ENCR1,Office,108000,62,Los Angeles,California,6,0,25'x25',Wood: mass timber,Wood: engineered panels,Concrete: shear walls,MV: brick,Glazing: triple pane IGU,EPDM roofing,33%
STR3_ENCO4_ENCT1_ENCR1,Office,108000,62,Los Angeles,California,6,0,25'x25',Wood: mass timber,Wood: engineered panels,Concrete: shear walls,MV: granite,Glazing: double pane IGU,EPDM roofing,33%
STR3_ENCO4_ENCT2_ENCR1,Office,108000,62,Los Angeles,California,6,0,25'x25',Wood: mass timber,Wood: engineered panels,Concrete: shear walls,MV: granite,Glazing: triple pane IGU,EPDM roofing,33%
STR3_ENCO5_ENCT1_ENCR1,Office,108000,62,Los Angeles,California,6,0,25'x25',Wood: mass timber,Wood: engineered panels,Concrete: shear walls,Insulated metal panel,Glazing: double pane IGU,EPDM roofing,33%
STR3_ENCO5_ENCT2_ENCR1,Office,108000,62,Los Angeles,California,6,0,25'x25',Wood: mass timber,Wood: engineered panels,Concrete: shear walls,Insulated metal panel,Glazing: triple pane IGU,EPDM roofing,33%
STR3_ENCO6_ENCT1_ENCR1,Office,108000,62,Los Angeles,California,6,0,25'x25',Wood: mass timber,Wood: engineered panels,Concrete: shear walls,EIFS (XPS),Glazing: double pane IGU,EPDM roofing,33%
STR3_ENCO6_ENCT2_ENCR1,Office,108000,62,Los Angeles,California,6,0,25'x25',Wood: mass timber,Wood: engineered panels,Concrete: shear walls,EIFS (XPS),Glazing: triple pane IGU,EPDM roofing,33%
STR3_ENCO7_ENCT1_ENCR1,Office,108000,62,Los Angeles,California,6,0,25'x25',Wood: mass timber,Wood: engineered panels,Concrete: shear walls,Rainscreen: GFRC,Glazing: double pane IGU,EPDM roofing,33%
STR3_ENCO7_ENCT2_ENCR1,Office,108000,62,Los Angeles,California,6,0,25'x25',Wood: mass timber,Wood: engineered panels,Concrete: shear walls,Rainscreen: GFRC,Glazing: triple pane IGU,EPDM roofing,33%
STR3_ENCO8_ENCT1_ENCR1,Office,108000,62,Los Angeles,California,6,0,25'x25',Wood: mass timber,Wood: engineered panels,Concrete: shear walls,Rainscreen: thin brick,Glazing: double pane IGU,EPDM roofing,33%
STR3_ENCO8_ENCT2_ENCR1,Office,108000,62,Los Angeles,California,6,0,25'x25',Wood: mass timber,Wood: engineered panels,Concrete: shear walls,Rainscreen: thin brick,Glazing: triple pane IGU,EPDM roofing,33%
STR3_ENCO9_ENCT1_ENCR1,Office,108000,62,Los Angeles,California,6,0,25'x25',Wood: mass timber,Wood: engineered panels,Concrete: shear walls,Rainscreen: wood,Glazing: double pane IGU,EPDM roofing,33%
STR3_ENCO9_ENCT2_ENCR1,Office,108000,62,Los Angeles,California,6,0,25'x25',Wood: mass timber,Wood: engineered panels,Concrete: shear walls,Rainscreen: wood,Glazing: triple pane IGU,EPDM roofing,33%
STR3_ENCO10_ENCT1_ENCR1,Office,108000,62,Los Angeles,California,6,0,25'x25',Wood: mass timber,Wood: engineered panels,Concrete: shear walls,Rainscreen: formed steel panel,Glazing: double pane IGU,EPDM roofing,33%
STR3_ENCO10_ENCT2_ENCR1,Office,108000,62,Los Angeles,California,6,0,25'x25',Wood: mass timber,Wood: engineered panels,Concrete: shear walls,Rainscreen: formed steel panel,Glazing: triple pane IGU,EPDM roofing,33%
